Cell,DL_Avg(μs),DL_Max(μs),DL_P99(μs),DL_Jitter(μs),UL_Avg(μs),UL_Max(μs),UL_P99(μs),UL_Jitter(μs),TPS,Cell-TPS,OnTime(%)
1,33.68,38.23,36.37,1.26,155.75,167.08,167.06,7.66,2000.00,2000.00,100.00
2,52.49,60.80,60.62,4.48,204.63,224.22,224.09,12.28,2000.00,4000.00,100.00
3,59.83,66.99,66.95,3.85,254.14,272.54,271.67,10.27,2000.00,6000.00,100.00
4,70.07,74.60,74.49,3.12,349.22,417.88,417.74,49.85,2000.00,8000.00,100.00
5,81.07,97.81,94.71,5.18,449.48,558.20,557.42,88.36,2000.00,10000.00,100.00
6,90.05,102.49,101.46,5.86,535.80,667.05,666.67,120.10,2000.00,12000.00,100.00
7,103.06,117.07,115.23,7.32,708.43,906.38,904.74,185.94,2000.00,14000.00,100.00
8,113.79,125.89,125.40,7.49,679.63,829.19,828.87,140.74,2000.00,16000.00,100.00
9,128.01,140.61,140.44,9.49,755.66,903.61,903.03,139.32,2000.00,18000.00,100.00
10,139.63,160.06,159.25,10.77,834.82,988.47,986.94,138.52,2000.00,20000.00,100.00
11,153.95,172.80,172.48,13.01,906.57,1062.63,1062.46,143.20,2000.00,22000.00,100.00
12,164.76,179.34,179.24,11.30,970.63,1139.63,1138.50,152.70,2000.00,24000.00,100.00
13,181.40,206.77,205.80,14.29,1033.66,1209.02,1207.61,162.30,2000.00,26000.00,100.00
14,191.73,214.01,213.70,13.20,1106.63,1283.13,1283.04,164.77,2000.00,28000.00,100.00
15,208.29,234.34,233.43,14.15,1164.60,1344.16,1342.66,167.91,2000.00,30000.00,100.00
16,221.24,239.69,238.82,14.32,1234.95,1415.07,1414.82,173.17,2000.00,32000.00,100.00
