# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     91     56     60      0      0      0      0      0      0   2619   1500      0      0     14      2      0      0      0      0      0      0 
    1     88     49     52      0      0      0      0      0      0   2619   1500      0      0     14      2      0      0      0      0      0      0 
    0     91     56     60      0      0      0      0      0      0   2619   1500    100      0     14      2      0      0      0      0      0      0 
    1     88     49     52      0      0      0      0      0      0   2619   1500    100      0     14      2      0      0      0      0      0      0 
    0     91     56     60      0      0      0      0      0      0   2619   1500    100      0     14      2      0      0      0      0      0      0 
    1     88     49     52      0      0      0      0      0      0   2619   1500    100      0     14      2      0      0      0      0      0      0 
    0     91     56     60      0      0      0      0      0      0   2619   1500    100      0     14      2      0      0      0      0      0      0 
    1     88     49     52      0      0      0      0      0      0   2619   1500    100      0     14      2      0      0      0      0      0      0 
    0     91     56     60      0      0      0      0      0      0   2619   1500    100      0     14      2      0      0      0      0      0      0 
    1     88     49     52      0      0      0      0      0      0   2619   1500    100      0     14      2      0      0      0      0      0      0 
    0     91     56     60      0      0      0      0      0      0   2619   1500    100      0     14      2      0      0      0      0      0      0 
    1     88     49     52      0      0      0      0      0      0   2619   1500    100      0     14      2      0      0      0      0      0      0 
    0     91     56     60      0      0      0      0      0      0   2619   1500    100      0     14      2      0      0      0      0      0      0 
    1     88     49     52      0      0      0      0      0      0   2619   1500    100      0     14      2      0      0      0      0      0      1 
    0     91     56     60      0      0      0      0      0      0   2619   1500    100      0     14      2      0      0      0      0      0      0 
    1     88     49     52      0      0      0      0      0      0   2619   1500    100      0     14      2      0      0      0      0      0      1 
    0     91     56     60      0      0      0      0      0      0   2619   1500    100      0     14      2      0      0      0      0      0      0 
    1     88     49     52      0      0      0      0      0      0   2619   1500    100      0     14      2      0      0      0      0      0      0 
    0     91     56     60      0      0      0      0      0      0   2619   1500    100      0     14      2      0      0      0      0      0      1 
    1     88     49     52      0      0      0      0      0      0   2619   1500    100      0     14      2      0      0      0      0      0      0 
    0     91     56     60      0      0      0      0      0      0   2619   1500    100      0     14      2      0      0      0      0      0      0 
    1     88     49     52      0      0      0      0      0      0   2619   1500    100      0     14      2      0      0      0      0      0      0 
    0     91     56     60      0      0      0      0      0      0   2619   1500    100      0     14      2      0      0      0      0      0      0 
    1     88     49     52      0      0      0      0      0      0   2619   1500    100      0     14      2      0      0      0      0      0      0 
    0     91     56     60      0      0      0      0      0      0   2619   1500    100      0     14      2      0      0      0      0      0      0 
    1     88     49     52      0      0      0      0      0      0   2619   1500    100      0     14      2      0      0      0      0      0      0 
    0     91     56     60      0      0      0      0      0      0   2619   1500    100      0     14      2      0      0      0      0      0      0 
    1     88     49     52      0      0      0      0      0      0   2619   1500    100      0     14      2      0      0      0      0      0      0 
    0     91     56     60      0      0      0      0      0      0   2619   1500    100      0     14      2      0      0      0      0      0      0 
    1     88     49     52      0      0      0      0      0      0   2619   1500    100      0     14      2      0      0      0      0      0      0 
    0     91     56     60      0      0      0      0      0      0   2619   1500    100      0     14      2      0      0      0      0      0      0 
    1     88     49     52      0      0      0      0      0      0   2619   1500    100      0     14      2      0      0      0      0      0      0 
    0     91     56     60      0      0      0      0      0      0   2619   1500    100      0     14      2      0      0      0      0      0      0 
    1     88     49     52      0      0      0      0      0      0   2619   1500    100      0     14      2      0      0      0      0      0      1 
    0     91     56     60      0      0      0      0      0      0   2619   1500    100      0     14      2      0      0      0      0      0      0 
    1     88     49     52      0      0      0      0      0      0   2619   1500    100      0     14      2      0      0      0      0      0      1 
    0     91     56     60      0      0      0      0      0      0   2619   1500    100      0     14      2      0      0      0      0      0      1 
    1     89     49     52      0      0      0      0      0      0   2619   1500    100      0     14      2      0      0      0      0      0      0 
    0     91     56     60      0      0      0      0      0      0   2619   1500    100      0     14      2      0      0      0      0      0      1 
    1     89     49     52      0      0      0      0      0      0   2619   1500    100      0     14      2      0      0      0      0      0      0 
    0     91     56     60      0      0      0      0      0      0   2619   1500    100      0     14      2      0      0      0      0      0      0 
    1     88     49     52      0      0      0      0      0      0   2619   1500    100      0     14      2      0      0      0      0      0      0 
    0     91     56     60      0      0      0      0      0      0   2619   1500    100      0     14      2      0      0      0      0      0      0 
    1     89     49     52      0      0      0      0      0      0   2619   1500    100      0     14      2      0      0      0      0      0      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     91     56     60      0      0      0      0      0      0   2619   1500    100      0     14      2      0      0      0      0      0      0 
    1     88     49     52      0      0      0      0      0      0   2619   1500    100      0     14      2      0      0      0      0      0      0 
    0     91     56     60      0      0      0      0      0      0   2619   1500    100      0    558      7      0      0      0      0     34     25 
    1     89     49     52      0      0      0      0      0      0   2619   1500    100      0     17      2      0      0      0      0      1      0 
    0     93     56     60      0      0      0      0      0      0   2619   1500    100      0    631      9      0      0      0      0     19     20 
    1     88     49     52      0      0      0      0      0      0   2619   1500    100      0     17      2      0      0      0      0      0      0 
    0     93     56     60      0      0      0      0      0      0   2619   1500    100      0   1152     11      0      0      0      0     18     19 
    1     88     49     52      0      0      0      0      0      0   2619   1500    100      0     17      2      0      0      0      0      1      0 
    0     93     56     60      0      0      0      0      0      0   2619   1500    100      0   1414     13      0      0      0      0     17     17 
    1     89     49     52      0      0      0      0      0      0   2619   1500    100      0     17      2      0      0      0      0      0      0 
    0     92     56     60      2      0      0      0      0      0   2619   1500    100      0   1828     13      0      0      0      0     78     13 
    1     89     49     52      0      0      0      0      0      0   2619   1500    100      0     17      2      0      0      0      0      0      0 
    0     91     56     60      0      0      0      0      0      0   2619   1500    100      0   2556     13      0      0      0      0      0      0 
    1     89     49     52      0      0      0      0      0      0   2619   1500    100      0     17      2      0      0      0      0      0      0 
    0     91     56     60     47      0      0      0      0      0   2619   1500    100      0   2598     13      0      0      0      0     93    199 
    1     88     49     52      0      0      0      0      0      0   2619   1500    100      0     17      2      0      0      0      0      0      0 
    0     94     56     60     89      0      0      0      0      0   2619   1500    100      0   2624     13      0      0      0      0   1985    359 
    1     89     49     52      0      0      0      0      0      0   2619   1500    100      0     17      2      0      0      0      0      0      0 
    0     94     56     60      0      0      0      0      0      0   2619   1500    100      0   2592     13      0      0      0      0      0      0 
    1     88     49     52      0      0      0      0      0      0   2619   1500    100      0     17      2      0      0      0      0      0      0 
