procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 9  0 481536 231630528 2976472 268001248    0    0     2     9    0    0  1  0 98  0  0
 0  0 481536 231617456 2976472 268001280    0    0     4   100 10637 12691  1  1 99  0  0
 0  0 481536 231622960 2976472 268001248    0    0     0   100 12295 20587  1  1 99  0  0
 0  0 481536 231644160 2976472 268001248    0    0     0   100 9273 12083  1  0 99  0  0
 4  0 481536 231622320 2976472 268001264    0    0     0    76 8172 10191  1  0 99  0  0
 0  0 481536 231619104 2976472 268001248    0    0     0   244 9014 11023  1  0 99  0  0
 1  0 481536 231605952 2976472 268001248    0    0     0    92 7848 9812  1  0 99  0  0
 6  0 481536 231629184 2976472 268001248    0    0     0    80 11759 31435  2  1 98  0  0
 0  0 481536 231649632 2976472 268001216    0    0     0    88 11685 19619  1  1 98  0  0
 1  0 481536 231657680 2976472 268001184    0    0     0   100 9606 12165  1  0 99  0  0
 0  0 481536 231634368 2976472 268001184    0    0     0   376 9042 11089  1  0 99  0  0
 1  0 481536 231627536 2976472 268001200    0    0     0   100 10171 12561  1  1 99  0  0
 0  0 481536 231629568 2976472 268001200    0    0     0   100 8577 10922  1  0 99  0  0
 4  0 481536 231654464 2976472 268001216    0    0     0    92 10654 34696  1  1 98  0  0
 2  0 481536 231672784 2976472 268001216    0    0     0    72 8291 16435  1  1 99  0  0
13  0 481536 231676128 2976472 268001216    0    0     0   184 7314 10792  0  0 99  0  0
 1  0 481536 231693600 2976472 268001200    0    0     0    76 7669 9235  1  0 99  0  0
 0  0 481536 231693312 2976472 268001200    0    0     0   100 8927 12577  1  0 99  0  0
 1  0 481536 231706544 2976472 268001216    0    0     0   100 9439 11775  1  0 99  0  0
 1  0 481536 231688736 2976472 268001216    0    0     0   100 11689 19811  1  1 99  0  0
 1  0 481536 231711616 2976472 268001184    0    0     0   280 10598 13253  1  1 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 481536 231689376 2976472 268001184    0    0     0   100 10246 12611  1  0 99  0  0
 0  0 481536 231682880 2976472 268001184    0    0     0   100 15818 39721  1  1 98  0  0
 1  0 481536 231688896 2976472 268001200    0    0     0    92 8044 10605  1  0 99  0  0
 3  0 481536 231693296 2976472 268001200    0    0     0    64 5858 7950  0  0 99  0  0
 2  0 481536 231655936 2976472 268001200    0    0     0   204 7935 14657  0  0 99  0  0
 1  0 481536 231685376 2976472 268001184    0    0     0    88 9585 12537  1  0 99  0  0
 0  0 481536 231639616 2976472 268001200    0    0     0   100 9028 11214  1  0 99  0  0
 0  0 481536 231651088 2976472 268001200    0    0     0   100 9291 12194  1  0 99  0  0
 0  0 481536 231643936 2976472 268001200    0    0     0   100 9219 11513  1  0 99  0  0
 2  0 481536 231646640 2976472 268001200    0    0     0   252 10758 19168  1  1 99  0  0
 2  0 481536 231637120 2976472 268001200    0    0     0   100 12811 34552  1  1 98  0  0
 0  0 481536 231642240 2976472 268001200    0    0     0   100 9888 12826  1  0 99  0  0
13  0 481536 231648320 2976472 268001200    0    0     0    76 6118 7989  0  0 99  0  0
 2  0 481536 231615296 2976472 268001200    0    0     0    48 6292 8632  0  0 99  0  0
 0  0 481536 231644752 2976472 268001200    0    0     0   276 8187 9431  0  0 99  0  0
 1  0 481536 231631744 2976472 268001200    0    0     0   100 11073 20313  1  1 99  0  0
 2  0 481536 231629904 2976472 268001200    0    0     0   100 12767 35120  1  1 98  0  0
 2  0 481536 231607200 2976472 268001200    0    0     0   100 9185 12606  1  0 99  0  0
 0  0 481536 231586272 2976472 268001216    0    0     0   100 9107 11676  1  0 99  0  0
 0  0 481536 231600032 2976472 268001216    0    0     0   332 9110 12333  1  0 99  0  0
 2  0 481536 231586432 2976472 268001216    0    0     0    92 8450 11610  1  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 481536 231565568 2976472 268001216    0    0     0    88 9251 18409  1  1 99  0  0
 2  0 481536 231553792 2976472 268001232    0    0     0    84 7570 9616  1  0 99  0  0
 3  0 481536 231536864 2976472 268001232    0    0     0    60 6448 9354  0  0 99  0  0
 0  0 481536 231520448 2976472 268001216    0    0     0   192 9046 10618  1  1 99  0  0
 1  0 481536 231573664 2976472 268001184    0    0     0   100 9383 12273  1  1 99  0  0
 0  0 481536 231604352 2976472 268001200    0    0     0   100 10921 19306  1  1 99  0  0
 1  0 481536 231582576 2976472 268001200    0    0     0   100 9350 11282  1  0 99  0  0
 0  0 481536 231586624 2976472 268001216    0    0     0   100 12017 35786  1  1 98  0  0
 2  0 481536 231577808 2976472 268001216    0    0     0   256 7550 9952  0  0 99  0  0
 3  0 481536 231611232 2976472 268001216    0    0     0    88 12259 25758  1  1 99  0  0
 0  0 481536 231570208 2976472 268001216    0    0     0   100 11764 25477  1  1 99  0  0
 5  0 481536 231578064 2976472 268001216    0    0     0    68 7634 16073  0  1 99  0  0
 1  0 481536 231599392 2976472 268001216    0    0     0    52 7125 8140  0  0 99  0  0
 0  0 481536 231604320 2976472 268001216    0    0     0   252 9124 12244  1  0 99  0  0
 1  0 481536 231631200 2976472 268001216    0    0     0   100 8981 11137  1  0 99  0  0
 0  0 481536 231582144 2976472 268001216    0    0     0   108 14826 18849  1  1 98  0  0
 2  0 481536 231574160 2976472 268001248    0    0     0   100 10294 11534  1  0 99  0  0
 2  0 481536 231583520 2976472 268001264    0    0     0   256 9416 18279  1  0 99  0  0
 0  0 481536 231588640 2976472 268001264    0    0     0   188 10152 12607  1  0 99  0  0
 0  0 481536 231596992 2976472 268001264    0    0     0   100 10442 12068  1  0 99  0  0
 2  0 481536 231634656 2976472 268001280    0    0     0    92 8726 10598  1  1 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0 481536 231619872 2976472 268001280    0    0     0    64 18385 15563  1  1 98  0  0
 3  0 481536 231611392 2976472 268001264    0    0     0   416 9888 16644  1  1 99  0  0
 0  0 481536 231605824 2976472 268001264    0    0     0   100 10247 13223  1  1 99  0  0
 2  0 481536 231591136 2976472 268001296    0    0     0   180 12879 38339  1  1 98  0  0
11  0 481536 231572768 2976472 268001280   20    0    20   400 14017 36939  1  1 98  0  0
 0  0 481536 231571136 2976472 268001248    0    0     0    88 8422 9968  1  0 99  0  0
 0  0 481536 231593088 2976472 268001248    0    0     0   548 11106 15295  1  1 99  0  0
 0  0 481536 231578304 2976472 268001248    0    0     0   604 10913 20382  1  1 99  0  0
 0  0 481536 231583840 2976472 268001248    0    0     0   108 8988 12084  1  0 99  0  0
 2  0 481536 231597600 2976472 268001248    0    0     0    84 8810 10879  1  0 99  0  0
 2  0 481536 231609600 2976472 268001248    0    0     0    60 7433 7787  1  0 99  0  0
 0  0 481536 231608128 2976472 268001248    0    0     0   400 10824 14384  1  0 99  0  0
 6  0 481536 231584784 2976472 268001248    0    0     0   592 11225 20028  1  1 99  0  0
10  0 481536 231617648 2976472 268001264    0    0     0   468 9279 15637  1  0 99  0  0
 0  0 481536 231652080 2976472 268001232    0    0     0   428 9472 12912  1  0 99  0  0
 0  0 481536 231657120 2976472 268001248    0    0     0   456 10962 15474  1  1 99  0  0
 0  0 481536 231647136 2976472 268001248    0    0     0   492 10686 14395  1  1 99  0  0
 1  0 481536 231627584 2976472 268001248    0    0     0   256 9541 14270  1  0 99  0  0
 0  0 481536 231671168 2976472 268001264    0    0     0   160 12515 42184  1  1 98  0  0
 4  0 481536 231695696 2976472 268001280    0    0     0    76 7170 9542  0  1 99  0  0
 3  0 481536 231654368 2976472 268001264    0    0     0    56 8164 9658  1  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0 481536 231610032 2976472 268001264    0    0     0    88 16955 36047  2  1 97  0  0
 1  0 481536 231601280 2976472 268001280    0    0     0   236 8461 13055  1  0 99  0  0
 1  0 481536 231606384 2976472 268001280    0    0     0    88 8710 11891  1  0 99  0  0
 0  0 481536 231597808 2976472 268001248    0    0     0   100 9930 18911  1  1 99  0  0
 1  0 481536 231562032 2976472 268001248    0    0     0   100 9130 12257  1  0 99  0  0
 1  0 481536 231562256 2976472 268001248    0    0     0   100 8770 11003  1  0 99  0  0
 1  0 481536 231569376 2976472 268001248    0    0     0   224 9640 13000  1  0 99  0  0
 2  0 481536 231524960 2976472 268001264    0    0     0   148 10268 13237  1  1 99  0  0
 9  0 481536 231484512 2976472 268001328    0    0     4    64 10103 16751  1  1 99  0  0
 4  0 481536 231495120 2976472 268001328    0    0     0    56 7205 9692  0  0 99  0  0
 0  0 481536 231530000 2976472 268001312    0    0     0    88 8994 10695  1  0 99  0  0
 2  0 481536 231533632 2976472 268001312    0    0     0   268 8996 11406  1  0 99  0  0
 2  0 481536 231555552 2976472 268001296    0    0     0   100 11848 35901  1  1 98  0  0
 1  0 481536 231521664 2976472 268001296    0    0     0   168 9856 12559  1  0 99  0  0
 0  0 481536 231535520 2976472 268001296    0    0     0   100 12037 16988  1  1 98  0  0
