timestamp,cpu_id,user_pct,system_pct,idle_pct,iowait_pct
2026-01-27_14:45:55.127,cpu,1.19,.46,98.33,0
2026-01-27_14:45:55.127,cpu0,2.80,1.53,95.65,0
2026-01-27_14:45:55.127,cpu1,1.28,.55,98.16,0
2026-01-27_14:45:55.127,cpu2,1.32,.54,98.13,0
2026-01-27_14:45:55.127,cpu3,1.23,.52,98.23,0
2026-01-27_14:45:55.127,cpu4,1.06,.53,98.40,0
2026-01-27_14:45:55.127,cpu5,1.11,.50,98.38,0
2026-01-27_14:45:55.127,cpu6,1.13,.47,98.39,0
2026-01-27_14:45:55.127,cpu7,1.06,.46,98.46,0
2026-01-27_14:45:55.127,cpu8,1.02,.45,98.51,0
2026-01-27_14:45:55.127,cpu9,.93,.44,98.61,0
2026-01-27_14:45:55.127,cpu10,.98,.45,98.55,0
2026-01-27_14:45:55.127,cpu11,.97,.44,98.58,0
2026-01-27_14:45:55.127,cpu12,.98,.43,98.57,0
2026-01-27_14:45:55.127,cpu13,1.00,.45,98.54,0
2026-01-27_14:45:55.127,cpu14,.99,.45,98.54,0
2026-01-27_14:45:55.127,cpu15,1.03,.44,98.52,0
2026-01-27_14:45:55.127,cpu16,4.42,.56,95.01,0
2026-01-27_14:45:55.127,cpu17,2.28,.53,97.17,0
2026-01-27_14:45:55.127,cpu18,2.07,.50,97.41,0
2026-01-27_14:45:55.127,cpu19,1.72,.49,97.78,0
2026-01-27_14:45:55.127,cpu20,1.59,.46,97.93,0
2026-01-27_14:45:55.127,cpu21,1.47,.46,98.06,0
2026-01-27_14:45:55.127,cpu22,1.36,.46,98.16,0
2026-01-27_14:45:55.127,cpu23,1.63,.46,97.89,0
2026-01-27_14:45:55.127,cpu24,2.24,.46,97.28,0
2026-01-27_14:45:55.127,cpu25,1.74,.45,97.80,0
2026-01-27_14:45:55.127,cpu26,1.86,.45,97.68,0
2026-01-27_14:45:55.127,cpu27,1.41,.44,98.13,0
2026-01-27_14:45:55.127,cpu28,1.05,.44,98.50,0
2026-01-27_14:45:55.127,cpu29,1.30,.43,98.25,0
2026-01-27_14:45:55.127,cpu30,1.17,.44,98.38,0
2026-01-27_14:45:55.127,cpu31,1.14,.43,98.41,0
2026-01-27_14:45:55.127,cpu32,1.98,.61,97.39,0
2026-01-27_14:45:55.127,cpu33,1.36,.52,98.11,0
2026-01-27_14:45:55.127,cpu34,1.06,.50,98.43,0
2026-01-27_14:45:55.127,cpu35,1.07,.49,98.42,0
2026-01-27_14:45:55.127,cpu36,1.02,.47,98.50,0
2026-01-27_14:45:55.127,cpu37,.98,.46,98.55,0
2026-01-27_14:45:55.127,cpu38,1.06,.47,98.46,0
2026-01-27_14:45:55.127,cpu39,.95,.47,98.56,0
2026-01-27_14:45:55.127,cpu40,.95,.47,98.56,0
2026-01-27_14:45:55.127,cpu41,1.18,.50,98.30,0
2026-01-27_14:45:55.127,cpu42,1.09,.48,98.42,0
2026-01-27_14:45:55.127,cpu43,.99,.46,98.53,0
2026-01-27_14:45:55.127,cpu44,.91,.45,98.62,0
2026-01-27_14:45:55.127,cpu45,.99,.45,98.54,0
2026-01-27_14:45:55.127,cpu46,.93,.45,98.60,0
2026-01-27_14:45:55.127,cpu47,.95,.44,98.60,0
2026-01-27_14:45:55.127,cpu48,2.71,.61,96.66,0
2026-01-27_14:45:55.127,cpu49,1.58,.54,97.86,0
2026-01-27_14:45:55.127,cpu50,1.37,.51,98.11,0
2026-01-27_14:45:55.127,cpu51,1.25,.49,98.24,0
2026-01-27_14:45:55.127,cpu52,1.19,.48,98.31,0
2026-01-27_14:45:55.127,cpu53,1.16,.47,98.35,0
2026-01-27_14:45:55.127,cpu54,1.18,.47,98.33,0
2026-01-27_14:45:55.127,cpu55,1.11,.46,98.41,0
2026-01-27_14:45:55.127,cpu56,1.10,.44,98.44,0
2026-01-27_14:45:55.127,cpu57,1.13,.46,98.40,0
2026-01-27_14:45:55.127,cpu58,1.09,.43,98.45,0
2026-01-27_14:45:55.127,cpu59,1.08,.45,98.46,0
2026-01-27_14:45:55.127,cpu60,1.09,.44,98.46,0
2026-01-27_14:45:55.127,cpu61,1.09,.45,98.44,0
2026-01-27_14:45:55.127,cpu62,1.10,.44,98.44,0
2026-01-27_14:45:55.127,cpu63,1.09,.44,98.46,0
2026-01-27_14:45:55.127,cpu64,1.19,.57,98.23,0
2026-01-27_14:45:55.127,cpu65,.97,.54,98.48,0
2026-01-27_14:45:55.127,cpu66,.88,.47,98.64,0
2026-01-27_14:45:55.127,cpu67,.90,.48,98.60,0
2026-01-27_14:45:55.127,cpu68,.81,.50,98.68,0
2026-01-27_14:45:55.127,cpu69,.82,.45,98.72,0
2026-01-27_14:45:55.127,cpu70,.80,.45,98.73,0
