timestamp,gpu_index,gpu_util_pct,mem_util_pct,mem_used_mb,mem_total_mb,power_w,temp_c,sm_clock_mhz,mem_clock_mhz
2026-01-27_14:45:55.125,0, 0, 0, 14, 95830, 90.09, 54, 1500, 2619
2026-01-27_14:45:55.125,1, 0, 0, 14, 95830, 87.65, 46, 1500, 2619
2026-01-27_14:45:56.189,0, 0, 0, 14, 95830, 90.23, 54, 1500, 2619
2026-01-27_14:45:56.189,1, 0, 0, 14, 95830, 87.64, 46, 1500, 2619
2026-01-27_14:45:57.250,0, 0, 0, 14, 95830, 90.23, 54, 1500, 2619
2026-01-27_14:45:57.250,1, 0, 0, 14, 95830, 87.76, 46, 1500, 2619
2026-01-27_14:45:58.311,0, 0, 0, 14, 95830, 90.26, 54, 1500, 2619
2026-01-27_14:45:58.311,1, 0, 0, 14, 95830, 87.99, 46, 1500, 2619
2026-01-27_14:45:59.373,0, 0, 0, 14, 95830, 90.28, 54, 1500, 2619
2026-01-27_14:45:59.373,1, 0, 0, 14, 95830, 87.76, 46, 1500, 2619
2026-01-27_14:46:00.434,0, 0, 0, 14, 95830, 90.21, 54, 1500, 2619
2026-01-27_14:46:00.434,1, 0, 0, 14, 95830, 87.72, 46, 1500, 2619
2026-01-27_14:46:01.494,0, 0, 0, 14, 95830, 90.21, 54, 1500, 2619
2026-01-27_14:46:01.494,1, 0, 0, 14, 95830, 87.79, 46, 1500, 2619
2026-01-27_14:46:02.553,0, 0, 0, 14, 95830, 90.23, 54, 1500, 2619
2026-01-27_14:46:02.553,1, 0, 0, 14, 95830, 87.68, 46, 1500, 2619
2026-01-27_14:46:03.614,0, 0, 0, 14, 95830, 90.21, 54, 1500, 2619
2026-01-27_14:46:03.614,1, 0, 0, 14, 95830, 87.78, 46, 1500, 2619
2026-01-27_14:46:04.673,0, 0, 0, 14, 95830, 90.09, 54, 1500, 2619
2026-01-27_14:46:04.673,1, 0, 0, 14, 95830, 87.84, 46, 1500, 2619
2026-01-27_14:46:05.732,0, 0, 0, 14, 95830, 90.17, 54, 1500, 2619
2026-01-27_14:46:05.732,1, 0, 0, 14, 95830, 87.63, 46, 1500, 2619
2026-01-27_14:46:06.792,0, 0, 0, 14, 95830, 90.29, 54, 1500, 2619
2026-01-27_14:46:06.792,1, 0, 0, 14, 95830, 87.67, 46, 1500, 2619
2026-01-27_14:46:07.852,0, 0, 0, 14, 95830, 90.27, 54, 1500, 2619
2026-01-27_14:46:07.852,1, 0, 0, 14, 95830, 87.77, 46, 1500, 2619
2026-01-27_14:46:08.912,0, 0, 0, 14, 95830, 90.19, 54, 1500, 2619
2026-01-27_14:46:08.912,1, 0, 0, 14, 95830, 87.79, 46, 1500, 2619
2026-01-27_14:46:09.973,0, 0, 0, 14, 95830, 90.22, 54, 1500, 2619
2026-01-27_14:46:09.973,1, 0, 0, 14, 95830, 87.69, 46, 1500, 2619
2026-01-27_14:46:11.032,0, 0, 0, 14, 95830, 90.14, 54, 1500, 2619
2026-01-27_14:46:11.032,1, 0, 0, 14, 95830, 87.69, 46, 1500, 2619
2026-01-27_14:46:12.089,0, 0, 0, 14, 95830, 90.06, 54, 1500, 2619
2026-01-27_14:46:12.089,1, 0, 0, 14, 95830, 87.66, 46, 1500, 2619
2026-01-27_14:46:13.148,0, 0, 0, 14, 95830, 90.22, 54, 1500, 2619
2026-01-27_14:46:13.148,1, 0, 0, 14, 95830, 87.71, 46, 1500, 2619
2026-01-27_14:46:14.207,0, 0, 0, 14, 95830, 90.13, 54, 1500, 2619
2026-01-27_14:46:14.207,1, 0, 0, 14, 95830, 87.72, 46, 1500, 2619
2026-01-27_14:46:15.268,0, 0, 0, 14, 95830, 90.22, 54, 1500, 2619
2026-01-27_14:46:15.268,1, 0, 0, 14, 95830, 87.71, 46, 1500, 2619
2026-01-27_14:46:16.326,0, 0, 0, 14, 95830, 90.20, 54, 1500, 2619
2026-01-27_14:46:16.326,1, 0, 0, 14, 95830, 87.78, 46, 1500, 2619
2026-01-27_14:46:17.385,0, 0, 0, 36, 95830, 90.24, 54, 1500, 2619
2026-01-27_14:46:17.385,1, 0, 0, 17, 95830, 87.85, 46, 1500, 2619
2026-01-27_14:46:18.454,0, 0, 0, 604, 95830, 90.74, 54, 1500, 2619
2026-01-27_14:46:18.454,1, 0, 0, 88, 95830, 87.75, 46, 1500, 2619
2026-01-27_14:46:19.517,0, 1, 0, 692, 95830, 92.01, 54, 1500, 2619
2026-01-27_14:46:19.517,1, 0, 0, 88, 95830, 87.41, 46, 1500, 2619
2026-01-27_14:46:20.675,0, 0, 0, 1215, 95830, 92.29, 54, 1500, 2619
2026-01-27_14:46:20.675,1, 0, 0, 88, 95830, 87.53, 46, 1500, 2619
2026-01-27_14:46:21.750,0, 0, 0, 1474, 95830, 92.27, 54, 1500, 2619
2026-01-27_14:46:21.750,1, 0, 0, 88, 95830, 87.51, 46, 1500, 2619
2026-01-27_14:46:22.822,0, 0, 0, 1488, 95830, 92.67, 54, 1500, 2619
2026-01-27_14:46:22.822,1, 0, 0, 88, 95830, 87.48, 46, 1500, 2619
2026-01-27_14:46:23.907,0, 4, 0, 2016, 95830, 90.14, 54, 1500, 2619
2026-01-27_14:46:23.907,1, 0, 0, 88, 95830, 87.43, 46, 1500, 2619
2026-01-27_14:46:24.974,0, 0, 0, 2496, 95830, 90.23, 54, 1500, 2619
2026-01-27_14:46:24.974,1, 0, 0, 88, 95830, 87.50, 45, 1500, 2619
2026-01-27_14:46:26.059,0, 93, 0, 2504, 95830, 101.22, 54, 1500, 2619
2026-01-27_14:46:26.059,1, 0, 0, 88, 95830, 87.40, 46, 1500, 2619
2026-01-27_14:46:27.127,0, 91, 0, 2504, 95830, 106.46, 54, 1500, 2619
2026-01-27_14:46:27.127,1, 0, 0, 88, 95830, 87.34, 46, 1500, 2619
2026-01-27_14:46:28.194,0, 92, 0, 2504, 95830, 106.99, 54, 1500, 2619
2026-01-27_14:46:28.194,1, 0, 0, 88, 95830, 87.39, 46, 1500, 2619
2026-01-27_14:46:29.258,0, 92, 0, 2504, 95830, 106.65, 54, 1500, 2619
2026-01-27_14:46:29.258,1, 0, 0, 88, 95830, 87.37, 46, 1500, 2619
2026-01-27_14:46:30.326,0, 93, 0, 2504, 95830, 106.45, 55, 1500, 2619
2026-01-27_14:46:30.326,1, 0, 0, 88, 95830, 87.40, 46, 1500, 2619
2026-01-27_14:46:31.392,0, 48, 0, 2500, 95830, 97.86, 54, 1500, 2619
2026-01-27_14:46:31.392,1, 0, 0, 88, 95830, 87.61, 46, 1500, 2619
2026-01-27_14:46:32.461,0, 93, 0, 2504, 95830, 102.49, 55, 1500, 2619
