timestamp,total_mb,used_mb,free_mb,available_mb,buff_cache_mb,used_pct
2026-01-27_14:45:55.127,515635,23950,223733,486587,267951,4.64
2026-01-27_14:45:56.180,515635,23972,223712,486565,267949,4.64
2026-01-27_14:45:57.227,515635,23991,223694,486547,267949,4.65
2026-01-27_14:45:58.280,515635,23983,223701,486554,267949,4.65
2026-01-27_14:45:59.331,515635,23953,223732,486585,267949,4.64
2026-01-27_14:46:00.384,515635,23961,223724,486576,267949,4.64
2026-01-27_14:46:01.437,515635,24003,223682,486534,267949,4.65
2026-01-27_14:46:02.487,515635,24009,223676,486528,267949,4.65
2026-01-27_14:46:03.534,515635,24000,223684,486537,267949,4.65
2026-01-27_14:46:04.586,515635,23989,223695,486548,267949,4.65
2026-01-27_14:46:05.639,515635,24020,223664,486517,267949,4.65
2026-01-27_14:46:06.691,515635,24035,223649,486502,267949,4.66
2026-01-27_14:46:07.743,515635,24076,223609,486461,267949,4.66
2026-01-27_14:46:08.795,515635,24073,223611,486464,267949,4.66
2026-01-27_14:46:09.846,515635,24082,223603,486455,267949,4.67
2026-01-27_14:46:10.899,515635,24096,223588,486441,267949,4.67
2026-01-27_14:46:11.945,515635,24092,223593,486445,267949,4.67
2026-01-27_14:46:12.995,515635,24104,223580,486432,267949,4.67
2026-01-27_14:46:14.046,515635,24128,223557,486410,267949,4.67
2026-01-27_14:46:15.099,515635,24116,223568,486421,267949,4.67
2026-01-27_14:46:16.151,515635,24124,223561,486413,267949,4.67
2026-01-27_14:46:17.202,515635,24180,223504,486357,267949,4.68
2026-01-27_14:46:18.249,515635,24548,223113,485966,267973,4.76
2026-01-27_14:46:19.300,515635,25034,222619,485472,267982,4.85
2026-01-27_14:46:20.346,515635,25407,222235,485088,267992,4.92
2026-01-27_14:46:21.395,515635,25441,222192,485045,268001,4.93
2026-01-27_14:46:22.445,515635,25773,221860,484712,268002,4.99
2026-01-27_14:46:23.497,515635,26040,221576,484429,268018,5.05
2026-01-27_14:46:24.549,515635,26334,221280,484133,268019,5.10
2026-01-27_14:46:25.599,515635,26326,221275,484128,268033,5.10
2026-01-27_14:46:26.651,515635,26321,221280,484133,268033,5.10
2026-01-27_14:46:27.703,515635,26297,221304,484157,268033,5.09
2026-01-27_14:46:28.751,515635,26276,221325,484178,268033,5.09
2026-01-27_14:46:29.800,515635,26290,221311,484163,268033,5.09
2026-01-27_14:46:30.849,515635,26340,221261,484114,268033,5.10
2026-01-27_14:46:31.901,515635,26339,221262,484115,268033,5.10
2026-01-27_14:46:32.952,515635,26342,221259,484112,268033,5.10
2026-01-27_14:46:34.001,515635,26328,221273,484126,268033,5.10
2026-01-27_14:46:35.053,515635,26364,221237,484090,268033,5.11
2026-01-27_14:46:36.103,515635,26352,221249,484102,268033,5.11
2026-01-27_14:46:37.153,515635,26397,221204,484057,268033,5.11
2026-01-27_14:46:38.202,515635,26379,221222,484075,268033,5.11
2026-01-27_14:46:39.251,515635,26411,221190,484043,268033,5.12
2026-01-27_14:46:40.302,515635,26425,221176,484029,268033,5.12
2026-01-27_14:46:41.352,515635,26440,221161,484014,268033,5.12
2026-01-27_14:46:42.398,515635,26474,221127,483980,268033,5.13
2026-01-27_14:46:43.445,515635,26448,221153,484006,268033,5.12
2026-01-27_14:46:44.496,515635,26450,221151,484004,268033,5.12
2026-01-27_14:46:45.543,515635,26441,221160,484013,268033,5.12
2026-01-27_14:46:46.591,515635,26433,221168,484021,268033,5.12
2026-01-27_14:46:47.645,515635,26439,221162,484015,268033,5.12
